Sentence_ID,Original_Sentence,Extracted_Cause,Extracted_Effect,Extracted_Polarity,VERDICT,COMMENTS
219,"Looking forward, there may be further increases in lending at higher LTV and LTI ratios as the full impact of the FCA clarification feeds through, along with effect of the adjustment made by the PRA to the application of the LTI flow limit, following the FPC’s updated recommendation in Q2 (Section 3).",Pra Adjustment,High Lti Lending,positive,Partial,Cause entity too vague/acronym-based; relation otherwise supported.
299,"In the 2025 stress test, SMAs support the aggregate CET1 capital ratio by 0.8 percentage points and the aggregate leverage ratio by 0.3 percentage points.",Management Actions,Leverage Ratio,positive,Partial,Cause entity is overly generic ('management actions').
130,"In normal times, hedge funds serve a useful function by warehousing risk and intermediating between different types of market participants, thereby improving market liquidity and price discovery, but their use of leverage introduces risk.",Hedge Fund Leverage,Financial Risk,positive,Correct,Causal relation and polarity supported by sentence.
96,"For example, Bank of England survey evidence suggests that many SMEs do not intend to expand their business and so do not need external finance for growth, and around 70% would prefer slower growth over taking on debt.",Business Expansion Plans,External Finance Demand,positive,Correct,Causal relation and polarity supported by sentence.
84,"Following this, a series of energy and supply shocks that increased inflation and nominal GDP resulted in a large reduction in debt-to-GDP ratios.",Nominal Gdp Growth,Debt-To-Gdp Ratio,negative,Correct,Causal relation and polarity supported by sentence.
304,"In aggregate, this additional drawdown is worth around 0.5 percentage points of CET1 capital, taking into account each bank’s proportion of UK exposures in its risk-weighted assets.",Additional Drawdown,Cet1 Capital,negative,Correct,Causal relation and polarity supported by sentence.
30,"Because the financial sector plays a role in driving UK productivity growth, actions to support financial stability in turn support economic growth.",Financial Stability,Economic Growth,positive,Correct,Causal relation and polarity supported by sentence.
337,"The SWES will improve the Bank’s understanding of the behaviours of banks and NBFIs active in the private markets ecosystem in response to a downturn, and whether those behaviours will amplify stress across the financial system and pose risks to UK financial stability.",Bank Behaviors,Financial System Stress,positive,Wrong,Sentence only states SWES improves understanding; no direct stress effect.
187,"The share of SMEs in arrears is highest in the accommodation and food, construction, and retail trade sectors, which are more exposed to increased input costs and increased labour market costs associated with a higher minimum wage and the increase in employer’s national insurance contributions (NICs).",National Insurance Contributions,Labour Market Costs,positive,Correct,Causal relation and polarity supported by sentence.
124,"Yields on developed market long-term government bonds have risen over recent years reflecting interest rate increases and higher term-premia, as concerns about the sustainability of fiscal deficits globally remain in focus.",Higher Term-Premia,Government Bond Yields,positive,Correct,Causal relation and polarity supported by sentence.
28,"This could be driven by both demand for finance from businesses looking to invest in capital, as well as the supply of finance to those businesses.",Business Investment Demand,Finance Demand,positive,Correct,Causal relation and polarity supported by sentence.
170,This measure provides insurance against a marked and unsustainable loosening in underwriting standards and a further significant increase in the number of very highly indebted households.,Aggregate Flow Limit,Underwriting Standards,positive,Partial,Direction is ambiguous; measure prevents loosening rather than increases it.
329,"Markets have broadly seen the defaults of First Brands and Tricolor as driven by company-specific challenges, including alleged fraud, with no material repricing in credit markets (Section 2).",Company-Specific Challenges,Corporate Defaults,positive,Correct,Causal relation and polarity supported by sentence.
355,"In the physical risk-focused scenario, losses are driven by the increased frequency and severity of extreme weather events as global temperatures rise, which would have a severe negative impact on GDP and corporate earnings.",Extreme Weather,Gdp,negative,Correct,Causal relation and polarity supported by sentence.
363,Banks could face losses on their lending secured on buy-to-let properties as an EPC rating of ‘C’ or above could become a minimum requirement for rentability as early as 2028.,Epc Rating Requirements,Bank Lending Losses,positive,Partial,Entities are somewhat broad compared with sentence wording.
290,"Third, it is assumed that banks pass through around 70% of the increase in Bank Rate to sterling deposit rates within the first year of the stress.",Bank Rate Increase,Deposit Rates,positive,Wrong,No explicit causal relationship between extracted entities.
85,"The overlapping effects of these shocks, which resulted in interest rates increases, have created a prolonged period of uncertainty, making businesses more cautious about borrowing for expansion.",Economic Uncertainty,Corporate Borrowing,negative,Correct,Causal relation and polarity supported by sentence.
183,The stressed projection assumes a 10% fall in earnings and a range of 300 to 500 basis points increase in corporate lending spreads.,Corporate Lending Spreads,Corporate Vulnerability,positive,Correct,Causal relation and polarity supported by sentence.
355,"In the physical risk-focused scenario, losses are driven by the increased frequency and severity of extreme weather events as global temperatures rise, which would have a severe negative impact on GDP and corporate earnings.",Extreme Weather,Corporate Earnings,negative,Partial,Effect entity slightly overstated.
220,"This is supported by evidence from the most recent Credit Conditions Survey – 2025 Q3 (CCS), where lenders reported expectations of further increases in mortgage availability in Q4.",Lender Expectations,Mortgage Availability,positive,Correct,Causal relation and polarity supported by sentence.
25,"And Adler et al (2017) find that population ageing, slowing human capital accumulation, and lower global trade all contributed to this slowdown.",Lower Global Trade,Productivity Slowdown,positive,Partial,Cause/effect extraction too abstract.
147,"Additionally, weaker US demand could lead to lower US incomes and earnings, putting pressure on the debt servicing burdens of US households and businesses and consequently increasing the defaults and losses on the US exposures of UK lenders.",Debt Servicing Burdens,Loan Defaults,positive,Correct,Causal relation and polarity supported by sentence.
164,Borrowing costs have decreased following recent reductions in Bank Rate.,Bank Rate Reductions,Borrowing Costs,negative,Correct,Causal relation and polarity supported by sentence.
300,"The earlier recognition of losses under IFRS 9 enhances transparency and market confidence in measures of banks’ capital positions, including in a downturn, thereby supporting financial stability and the safety and soundness of individual banks.",Ifrs 9,Market Confidence,positive,Partial,Sentence discusses correlation more than direct causation.
150,"If access to power – for example due to delays connecting new AI data centres to the electricity grid – acts as a bottleneck to the operation of AI data centre projects, it can also weigh on their credit risk and be a trigger for re-evaluating future AI company/project earnings.",Power Access Bottlenecks,Earnings Re-Evaluation,positive,Partial,Entity boundaries are too verbose.
88,"Post-GFC regulation that increased bank resilience and the FPC’s use of the countercyclical capital buffer in stress, has enabled the banking sector to continue to support households and businesses through recent shocks.",Bank Resilience,Credit Supply,positive,Correct,Causal relation and polarity supported by sentence.
285,"Over recent years, as interest rates increased from historically low levels, loan margins recovered to be in line with historical averages (Chart 5.3).",Higher Interest Rates,Loan Margins,positive,Correct,Causal relation and polarity supported by sentence.
293,"In the first year of the stress, average risk weights for credit exposures increase from 33% to 37%, as these exposures become riskier during the stress.",Credit Risk,Risk Weights,positive,Wrong,Polarity does not match sentence direction.
365,"Most UK mortgages have an LTV ratio below 70%, and the FPC’s loan to income (LTI) flow limit provides protection against the UK household sector becoming overly indebted.",Lti Flow Limit,Household Indebtedness,negative,Correct,Causal relation and polarity supported by sentence.
52,"The FPC supports: The changes made by the PRA to Solvency II to encourage investment in productive assets by UK insurers, particularly through its reforms to the MA regime and its introduction of a MAIA.",Solvency Ii Reforms,Productive Asset Investment,positive,Correct,Causal relation and polarity supported by sentence.
88,"Post-GFC regulation that increased bank resilience and the FPC’s use of the countercyclical capital buffer in stress, has enabled the banking sector to continue to support households and businesses through recent shocks.",Post-Gfc Regulation,Bank Resilience,positive,Partial,Broad resilience effect extracted from multi-causal sentence.
317,"In contrast, firms such as insurers and pension funds, who had the highest demand for gilts historically, especially at longer maturities, have become less active as higher nominal yields improve their funding ratios, and an ageing population may encourage funds to shift toward shorter-term assets to ensure liquidity for paying current benefits.",Ageing Population,Short-Term Asset Demand,positive,Correct,Causal relation and polarity supported by sentence.
183,The stressed projection assumes a 10% fall in earnings and a range of 300 to 500 basis points increase in corporate lending spreads.,Corporate Earnings Decline,Corporate Vulnerability,positive,Partial,"Sentence discusses earnings fall, not corporate vulnerability directly."
308,The removal of past judgements is estimated to reduce the five-year impairment rate on UK unsecured personal credit portfolios in the 2025 Bank Capital Stress Test by 4.6 percentage points.,Removal Of Judgements,Impairment Rate,negative,Correct,Causal relation and polarity supported by sentence.
327,"Banks’ potential unwillingness to roll repo financing due to counterparty concerns or balance sheet constraints, was a key finding of last year’s SWES.",Balance Sheet Constraints,Repo Financing Availability,negative,Correct,Causal relation and polarity supported by sentence.
231,"The 7½ percentage point fall in banks’ average risk weights (measured excluding central bank reserves) since the beginning of 2016 means that the FPC’s previous Tier 1 benchmark is now associated with around £60 billion less nominal capital, based on the size of current balance sheets, than would have been the case absent the fall in risk weights; systemic buffers are lower than envisaged in 2015 as some banks have decreased in systemic importance; and the implementation of Basel 3.1 on 1 January 2027 will improve risk measurement, allowing the Prudential Regulation Authority (PRA) to reduce Pillar 2A minimum requirements by around ½ percentage point.",Risk Weight Reduction,Tier 1 Capital,negative,Partial,Multiple causal links combined; extraction simplifies sentence too much.
193,"However, most publicly issued bonds are investment grade, and their issuers are likely to be more resilient to higher rates because of low leverage, stronger balance sheets and more choice over sources of finance.",Low Leverage,Interest Rate Resilience,positive,Correct,Causal relation and polarity supported by sentence.
48,"Banks face significant challenges in developing lending collateralised by IP, primarily due to the difficulty of valuing intangible assets, the lack of standardised frameworks for assessing IP risk, and limited secondary markets for recovery in case of default.",Limited Secondary Markets,Lending Challenges,negative,Correct,Causal relation and polarity supported by sentence.
373,Investment in physical resilience and actions to enhance financial resilience could be beneficial to UK financial stability by supporting insurability as physical risks increase.,Physical Resilience Investment,Financial Stability,positive,Correct,Causal relation and polarity supported by sentence.
257,"The key drivers of the capital drawdown are an increase in credit impairments (Section 5.3) and traded risk losses (Section 5.4), which are only partially offset by higher NII in the first year of the stress (Section 5.5).",Credit Impairments,Capital Drawdown,positive,Correct,Causal relation and polarity supported by sentence.
41,"The FPC supports the changes made by the PRA to Solvency II to encourage investment in productive assets by UK insurers, particularly through its reforms to the Matching Adjustment (MA) regime and its work to deliver a Matching Adjustment Investment Accelerator (MAIA).",Solvency Ii Reforms,Productive Asset Investment,positive,Correct,Causal relation and polarity supported by sentence.
367,"This is in part due to Flood Re – a joint reinsurance initiative between the Government and the insurance industry, which promotes the affordability and availability of insurance for households at high risk of flooding.[39] Credit risks to banks from physical hazards are also currently mitigated by high insurance coverage.",Flood Re,Insurance Affordability,positive,Correct,Causal relation and polarity supported by sentence.
244,The reduction of the FPC’s important Tier 1 benchmark to 13% should also provide banks with greater certainty and confidence to use their existing capital to support lending to the real economy.,Lower Capital Benchmark,Bank Lending,positive,Correct,Causal relation and polarity supported by sentence.
64,"Household debt-to-GDP grew by around 40 percentage points from the late 1990’s to 2008 and peaked at over 100% of GDP, mirroring rapid house price growth partly driven by increased competition among mortgage lenders (Chart A).",Mortgage Lender Competition,House Price Growth,positive,Correct,Causal relation and polarity supported by sentence.
326,"The July 2025 Financial Stability Report outlined four common triggers that could lead to forced or widespread deleveraging of leveraged trades.[29] Forced or widespread deleveraging would have the result of amplifying initial moves and potentially triggering a feedback loop of further forced selling, especially if funding conditions tightened to the extent that refinancing became unavailable or prohibitively expensive.",Tightened Funding Conditions,Refinancing Costs,positive,Partial,Effect should be refinancing availability rather than costs.
138,"As a result, tracing the final location of credit risk is challenging, complicating assessments of who ultimately bears losses if conditions deteriorate.",Complex Credit Risk,Loss Assessment Difficulty,positive,Partial,Cause entity too generic.
122,"Support for local government finances was announced last November, which brings some local government debts onto balance sheets and reduces financing costs, but local government fiscal pressures remain elevated amidst weak revenue growth.",Debt Restructuring,Financing Costs,negative,Correct,Causal relation and polarity supported by sentence.
20,Funds could need to deleverage simultaneously in response to a shock if funding conditions tightened to the extent that refinancing became unavailable or prohibitively expensive.,Tightened Funding Conditions,Forced Deleveraging,positive,Correct,Causal relation and polarity supported by sentence.
222,Increased competition is said to be contributing to compressed spreads and an easing in some loan terms.,Increased Competition,Easing Loan Terms,positive,Correct,Causal relation and polarity supported by sentence.
226,"As PTF activities often involve high volumes of intraday trading, this can result in banks’ intraday exposures, through their PTF clients, exceeding end-of day positions.",Intraday Trading,Intraday Exposures,positive,Correct,Causal relation and polarity supported by sentence.
56,"The removal of credit controls, exchange restrictions, and reforms such as the abolition of the ‘corset’ in 1980, enabled banks to expand beyond business lending into mortgage finance and investment banking.[4] Banks’ share of mortgage lending increased as a result.",Removal Of Credit Controls,Mortgage Lending,positive,Correct,Causal relation and polarity supported by sentence.
209,Valuations of major UK banks have increased due to both an increase in expected aggregate RoTE and a decrease in their cost of equity in recent years.,Expected Rote,Bank Valuations,positive,Correct,Causal relation and polarity supported by sentence.
259,Credit impairments reduce the aggregate CET1 capital ratio by 3.3 percentage points at the low point (year 1).,Credit Impairments,Cet1 Capital Ratio,negative,Correct,Causal relation and polarity supported by sentence.
31,Improvements to financial system resilience since the GFC have allowed it to continue to support UK households and businesses through periods of financial stress.,Financial System Resilience,Credit Availability,positive,Correct,Causal relation and polarity supported by sentence.
228,"This assessment weighs the macroeconomic costs of capital, which stem from the impact of higher capital pushing up on borrowing costs, against the benefits of capital, which come about because higher bank capital reduces the likelihood and costs of financial crises.",Higher Bank Capital,Financial Crisis Risk,negative,Correct,Causal relation and polarity supported by sentence.
280,"Revenues decline in the first year of the stress, driven by a sharp fall in fees from advisory activities, though they are somewhat supported by resilient client trading activities in response to increased financial market volatility.",Advisory Fee Decline,Bank Revenues,negative,Correct,Causal relation and polarity supported by sentence.
74,"This followed the implementation of post-crisis regulatory reforms, including higher capital and liquidity requirements that strengthened and increased confidence in the banking system.",Regulatory Reforms,Banking System Confidence,positive,Correct,Causal relation and polarity supported by sentence.
126,This fall reflects both reduced term premia and expectations for interest rates.,Lower Interest Rate Expectations,Bond Yields,negative,Partial,Cause is incomplete; both term premia and rates matter.
7,"The FPC supports: The changes made by the Prudential Regulation Authority (PRA) to Solvency II to encourage investment in productive assets by UK insurers, particularly through its reforms to the Matching Adjustment (MA) regime and its introduction of a Matching Adjustment Investment Accelerator (MAIA).",Solvency Ii Reforms,Productive Asset Investment,positive,Correct,Causal relation and polarity supported by sentence.
120,"If the defaults of First Brands and Tricolor prompted a wider reassessment of credit risk in the US, then this could spillover to the UK and harm the availability and pricing of credit for the UK real economy, with higher spreads and a tightening of credit conditions for lower quality credit in particular.",Credit Risk Reassessment,Credit Conditions,negative,Correct,Causal relation and polarity supported by sentence.
187,"The share of SMEs in arrears is highest in the accommodation and food, construction, and retail trade sectors, which are more exposed to increased input costs and increased labour market costs associated with a higher minimum wage and the increase in employer’s national insurance contributions (NICs).",Labour Market Costs,Sme Arrears,positive,Correct,Causal relation and polarity supported by sentence.
91,The increased diversification of UK corporate finance has been further increased by international banks and by the emergence of challenger banks.,International Banks,Corporate Finance Diversification,positive,Correct,Causal relation and polarity supported by sentence.
364,"Losses to banks from flooding are also mitigated by the high availability of flood insurance, including due to the presence of Flood Re (more information below).",Flood Insurance,Bank Losses,negative,Correct,Causal relation and polarity supported by sentence.
356,"For example, a severe macro shock associated with transition risks could lead to a 16% fall in government bond prices.",Macro Shock,Government Bond Prices,negative,Correct,Causal relation and polarity supported by sentence.
198,"This has reduced corporate borrowing costs, encouraging higher levels of corporate issuance and easing refinancing burdens.",Lower Borrowing Costs,Refinancing Burdens,negative,Correct,Causal relation and polarity supported by sentence.
79,"The economy was hit by a series of shocks starting in 2020 that ultimately resulted in high inflation driving a marked reduction in household and corporate debt-to- GDP ratios, while post-GFC regulation has enabled the banking system to weather shocks while supporting the economy.",High Inflation,Debt-To-Gdp Ratio,negative,Correct,Causal relation and polarity supported by sentence.
168,"On balance, for the typical owner-occupier mortgagor rolling off a fixed rate in the next two years, their monthly mortgage repayments are projected to increase by £64 (8%), with some households facing much larger increases.",Fixed Rate Expiration,Mortgage Repayments,positive,Correct,Causal relation and polarity supported by sentence.
180,The corporate net debt to earnings ratio ticked up slightly in 2025 Q2 as net debt increased and profits fell slightly.,Profit Decline,Debt To Earnings Ratio,positive,Correct,Causal relation and polarity supported by sentence.
231,"The 7½ percentage point fall in banks’ average risk weights (measured excluding central bank reserves) since the beginning of 2016 means that the FPC’s previous Tier 1 benchmark is now associated with around £60 billion less nominal capital, based on the size of current balance sheets, than would have been the case absent the fall in risk weights; systemic buffers are lower than envisaged in 2015 as some banks have decreased in systemic importance; and the implementation of Basel 3.1 on 1 January 2027 will improve risk measurement, allowing the Prudential Regulation Authority (PRA) to reduce Pillar 2A minimum requirements by around ½ percentage point.",Basel 3.1 Implementation,Risk Measurement,positive,Correct,Causal relation and polarity supported by sentence.
54,"UK bank lending in the 1980s and early 1990s grew rapidly as deregulation led to an expansion beyond traditional business lending, which increased the banking sector’s size but created vulnerabilities.",Deregulation,Bank Lending Growth,positive,Correct,Causal relation and polarity supported by sentence.
386,"The higher cost of living, which is particularly pronounced on vulnerable households, is estimated to increase impairments relative to the scenario starting point by 4% for mortgages and 20% for consumer credit.",Cost Of Living,Credit Impairments,positive,Correct,Causal relation and polarity supported by sentence.
326,"The July 2025 Financial Stability Report outlined four common triggers that could lead to forced or widespread deleveraging of leveraged trades.[29] Forced or widespread deleveraging would have the result of amplifying initial moves and potentially triggering a feedback loop of further forced selling, especially if funding conditions tightened to the extent that refinancing became unavailable or prohibitively expensive.",Forced Deleveraging,Market Volatility,positive,Partial,Effect inferred indirectly through feedback loop.
42,Members of the Association of British Insurers committed to using the Solvency UK reforms to invest at least £100 billion in UK productive assets over the next decade.,Solvency Uk Reforms,Productive Asset Investment,positive,Correct,Causal relation and polarity supported by sentence.
142,"However, the collapse of Archegos Capital Management in March 2021, after failing to meet margin calls on their equity total return swap positions, demonstrated how leveraged equity positions can result in risks to systemic financial institutions through prime brokerage exposures when prices fall.",Leveraged Equity Positions,Systemic Financial Risk,positive,Correct,Causal relation and polarity supported by sentence.
109,"The imposition of tariffs could potentially lead to lower profits for firms through higher costs on imported goods and lower earnings – through either lower global demand, or in response to higher prices if firms pass the cost of tariffs onto consumers.",Tariffs,Corporate Profits,negative,Correct,Causal relation and polarity supported by sentence.
307,This updated methodology has resulted in the start-to-trough changes in some variables being somewhat smaller over the scenario horizon than they otherwise would have been.,Updated Methodology,Variable Volatility,negative,Partial,Effect interpreted as volatility reduction rather than variable changes.
250,"Increased risk aversion leads to large falls in asset prices, while elevated sovereign debt levels in advanced economies put further upward pressure on government bond yields.",Sovereign Debt Levels,Government Bond Yields,positive,Correct,Causal relation and polarity supported by sentence.
107,"Corporates, especially highly leveraged corporates, continue to face challenges as they refinance existing fixed-term debt at higher rates following increases in interest rates over recent years (Section 3).",Interest Rates,Refinancing Costs,positive,Correct,Causal relation and polarity supported by sentence.
355,"In the physical risk-focused scenario, losses are driven by the increased frequency and severity of extreme weather events as global temperatures rise, which would have a severe negative impact on GDP and corporate earnings.",Global Temperatures,Extreme Weather,positive,Correct,Causal relation and polarity supported by sentence.
349,"For example, a 2025 DSIT report found that for UK small and medium businesses, insurance may be unaffordable, especially for firms with limited security budgets.",Limited Security Budgets,Insurance Affordability,negative,Correct,Causal relation and polarity supported by sentence.
224,Chart 4.2: A fall in gross lending volumes from banks and building societies in 2025 Q2 reflected the impact of mortgage activity brought forward to the first quarter.,Mortgage Activity,Gross Lending Volumes,negative,Correct,Causal relation and polarity supported by sentence.
360,"For example, institutional investors could be required to sell corporate bonds if they were downgraded from investment grade to high yield or be forced to sell assets to meet liquidity needs from redemptions or margin calls on leveraged exposures.",Credit Rating Downgrade,Asset Liquidation,positive,Correct,Causal relation and polarity supported by sentence.
196,The steeper refinancing walls increase the exposure of these corporates to higher interest rates and deteriorations in investor risk sentiment.,Refinancing Walls,Investor Risk Sentiment,negative,Partial,"Sentence implies exposure to deterioration, not deterioration itself."
150,"If access to power – for example due to delays connecting new AI data centres to the electricity grid – acts as a bottleneck to the operation of AI data centre projects, it can also weigh on their credit risk and be a trigger for re-evaluating future AI company/project earnings.",Power Access Bottlenecks,Credit Risk,positive,Correct,Causal relation and polarity supported by sentence.
46,The FPC has identified the following impediments to the supply of debt or equity finance to HGFs: 1. HGFs find it progressively more difficult to raise funds – especially from domestic sources – as funding rounds get larger due to a shortage of patient capital (Chart C).,Shortage Of Patient Capital,Funding Difficulty,negative,Correct,Causal relation and polarity supported by sentence.
348,"This can include losses sustained due to business interruption, as well as the costs incurred from responding to and recovering from an attack or incident.",Cyber Attack,Recovery Costs,positive,Correct,Causal relation and polarity supported by sentence.
12,"In markets serving higher-risk borrowers, such as leveraged loans and private credit, a larger proportion of outstanding debt has shorter maturity and therefore requires refinancing over the next few years, leaving corporates in such funding markets more exposed to a tightening of credit conditions or a deterioration in investor risk sentiment.",Tightening Credit Conditions,Corporate Funding Risk,positive,Correct,Causal relation and polarity supported by sentence.
279,"Overall, the net impact of these factors reduces banks’ capital by around £15 billion, equivalent to 0.8 percentage points of the CET1 capital ratio.",Market Factors,Cet1 Capital Ratio,negative,Correct,Causal relation and polarity supported by sentence.
156,"Effective rates on new bank lending to corporates have also decreased, with rates for private non- financial corporates declining 14 basis points from August to September.",Bank Lending Rates,Corporate Borrowing Costs,negative,Correct,Causal relation and polarity supported by sentence.
275,5.4: Traded risk The traded risk scenario reduces banks’ aggregate CET1 capital ratio by 0.8 percentage points in the first year of the stress.,Traded Risk Scenario,Cet1 Capital Ratio,negative,Correct,Causal relation and polarity supported by sentence.
239,Analysis suggests that materially lower capital requirements could lead to significant reductions in long-run expected GDP.,Capital Requirements,Expected Gdp,negative,Wrong,Sentence states lower capital requirements reduce GDP; extracted direction incorrect.
57,Rapid credit growth and loosening of underwriting standards during this period increased vulnerabilities that resulted in the early 1990s small banks’ crisis.,Financial Vulnerabilities,Banking Crisis,positive,Correct,Causal relation and polarity supported by sentence.
216,"Following a decline in 2025 Q2 that reflected the impact of buyers bringing mortgage purchases forward to Q1 ahead of the stamp duty changes, mortgage activity picked up in Q3, including the proportion of new loans at higher LTI and LTV ratios.",Stamp Duty Changes,Mortgage Activity,negative,Correct,Causal relation and polarity supported by sentence.
370,"Taken together, these changes could lead to decreases in insurance coverage due to insurers withdrawing from certain regions, or pricing becoming unaffordable for households.",Unaffordable Pricing,Insurance Coverage,negative,Correct,Causal relation and polarity supported by sentence.
243,"But to the extent that incentives to maintain excess capital can be reduced by enhancing buffer usability, this could allow banks to support a material increase in lending.",Buffer Usability,Bank Lending,positive,Correct,Causal relation and polarity supported by sentence.
126,This fall reflects both reduced term premia and expectations for interest rates.,Reduced Term Premia,Bond Yields,negative,Correct,Causal relation and polarity supported by sentence.
51,Elevated geopolitical tensions and continued advances in technology have increased the potential for operational incidents to disrupt the provision of vital services (Section 7).,Geopolitical Tensions,Operational Risk,positive,Partial,Effect entity generalized from operational incidents.
362,"These businesses are vulnerable to increases in carbon prices, which can occur as a result of government policy, but also in response to increases in gas prices.",Government Policy,Carbon Prices,positive,Correct,Causal relation and polarity supported by sentence.
57,Rapid credit growth and loosening of underwriting standards during this period increased vulnerabilities that resulted in the early 1990s small banks’ crisis.,Loosening Underwriting Standards,Financial Vulnerabilities,positive,Correct,Causal relation and polarity supported by sentence.
345,This increase in risk reflects increased geopolitical tensions and advances in technology.,Technological Advances,Cyber Risk,positive,Correct,Causal relation and polarity supported by sentence.
